Literature data from J.M Clement et al (1972) (to 9.02 MeV) and W.P. Abfalterer (2001) (above 9.02 MeV)
Hydrogen(n,tot)
MeV          Barns       Error (Barns)
2.45200      2.5683      0.012813
2.47410      2.5688      0.014121
2.49510      2.5639      0.014824
2.51910      2.5492      0.013377
2.54350      2.5364      0.014695
2.56540      2.5105      0.015125
2.58890      2.4622      0.013959
2.61290      2.5080      0.014394
2.63730      2.4864      0.013671
2.66300      2.4676      0.013778
2.68820      2.4540      0.014345
2.71350      2.4432      0.013733
2.73910      2.4095      0.014384
2.76380      2.4248      0.014675
2.79020      2.4029      0.014194
2.81840      2.3730      0.013691
2.84570      2.3640      0.014517
2.87300      2.3449      0.014027
2.90090      2.3642      0.015182
2.92930      2.3034      0.014565
2.95770      2.3050      0.015460
2.98720      2.2869      0.013902
3.01840      2.2556      0.013796
3.04850      2.2640      0.014318
3.07720      2.2803      0.014663
3.10800      2.2293      0.013939
3.13940      2.2451      0.014989
3.17140      2.1988      0.014068
3.20550      2.1975      0.014643
3.23870      2.1641      0.015545
3.27180      2.1770      0.014874
3.30580      2.1448      0.015595
3.34030      2.1378      0.014804
3.37500      2.1408      0.015868
3.41090      2.1072      0.014655
3.44910      2.0782      0.014748
3.48600      2.0789      0.015964
3.52130      2.0537      0.015871
3.55920      2.0440      0.015216
3.59770      2.0505      0.016142
3.63730      2.0108      0.014805
3.67920      2.0345      0.014667
3.72000      1.9768      0.015662
3.75890      1.9677      0.016003
3.80070      1.9538      0.014731
3.84330      1.9543      0.015125
3.88930      1.8990      0.013522
3.93600      1.8954      0.015111
3.97840      1.8990      0.015026
4.02400      1.8657      0.014127
4.07030      1.8859      0.014663
4.11490      1.8780      0.014588
4.16310      1.8568      0.014131
4.21440      1.8061      0.013764
4.26480      1.8048      0.014301
4.31530      1.7937      0.013814
4.36680      1.7896      0.014377
4.41640      1.7493      0.013861
4.47000      1.7685      0.012984
4.52730      1.7514      0.012881
4.58330      1.7062      0.013608
4.63960      1.7221      0.012758
4.69710      1.6810      0.013105
4.75250      1.6706      0.012942
4.81230      1.6687      0.012255
4.87640      1.6456      0.012007
4.93900      1.6261      0.012635
5.00190      1.6304      0.012038
5.06650      1.6471      0.012993
5.12850      1.6056      0.013177
5.19560      1.5700      0.012156
5.26800      1.5777      0.011929
5.33820      1.5525      0.012680
5.40880      1.5218      0.011799
5.48160      1.5129      0.012236
5.55560      1.5276      0.011632
5.63070      1.4748      0.012438
5.70340      1.4623      0.012178
5.78670      1.4620      0.010766
5.87180      1.4641      0.012030
5.94930      1.4248      0.011947
6.03260      1.4174      0.011162
6.11810      1.4052      0.011769
6.20040      1.3854      0.011754
6.28950      1.3731      0.011131
6.38600      1.3546      0.011001
6.48460      1.3150      0.010931
6.57990      1.3252      0.011498
6.67190      1.3014      0.011437
6.77140      1.2917      0.010827
6.87290      1.2730      0.011398
6.97120      1.2528      0.011420
7.08410      1.2715      0.010308
7.19980      1.2493      0.011789
7.30530      1.2349      0.011890
7.41890      1.2072      0.011450
7.53620      1.1778      0.012158
7.65640      1.1766      0.011614
7.77830      1.1672      0.012522
7.89670      1.1424      0.012557
8.03320      1.1159      0.011059
8.17300      1.1097      0.012464
8.30080      1.0996      0.012625
8.43910      1.1043      0.012046
8.58110      1.0709      0.013070
8.71860      1.0530      0.013357
8.86820      1.0298      0.012720
9.02070      1.0287      0.013732
9.16000      1.0130      0.003120
9.53000      0.9730      0.003010
9.92000      0.9430      0.002870
10.3300      0.9125      0.002760
10.7500      0.8765      0.003190
11.1900      0.8482      0.003380
11.6400      0.8168      0.003210
12.1200      0.7822      0.003460
12.6100      0.7572      0.003230
13.1300      0.7284      0.003340
13.6600      0.7019      0.003240
14.2200      0.6783      0.003100
14.8000      0.6530      0.003320
15.4100      0.6285      0.003460
16.0400      0.6025      0.003560
16.6900      0.5783      0.003300
17.3700      0.5547      0.003180
18.0800      0.5339      0.003180
18.8200      0.5143      0.003190
19.5900      0.4915      0.003210
20.3900      0.4710      0.002970
21.2200      0.4513      0.002800
22.0800      0.4309      0.002700
22.9900      0.4155      0.002670
23.9200      0.3967      0.002630
24.9000      0.3816      0.002590
25.9200      0.3636      0.002500
26.9700      0.3483      0.002450
28.0700      0.3325      0.002390
29.2200      0.3200      0.002330
30.4100      0.3025      0.000707
31.6500      0.2889      0.000682
32.9500      0.2764      0.000660
34.2900      0.2639      0.000639
35.6900      0.2511      0.000619
37.1500      0.2393      0.000599
38.6600      0.2283      0.000581
40.2400      0.2182      0.000563
41.8800      0.2075      0.000546
43.5900      0.1973      0.000529
45.3700      0.1888      0.000514
47.2300      0.1798      0.000499
49.1500      0.1710      0.000486
51.1600      0.1629      0.000473
53.2500      0.1549      0.000462
55.4200      0.1478      0.000451
57.6800      0.1412      0.000441
60.0400      0.1343      0.000432
62.4900      0.1280      0.000423
65.0400      0.1222      0.000415
67.6900      0.1165      0.000408
70.4600      0.1110      0.000400
73.3300      0.1060      0.000393
76.3300      0.1010      0.000387
79.4400      0.09655     0.000381
82.6800      0.09255     0.000376
86.0600      0.0883      0.000371
89.5700      0.08398     0.000366
93.2300      0.08093     0.000361
97.0300      0.0775      0.000357
101.000      0.07443     0.000354
105.100      0.07139     0.000350
109.400      0.06854     0.000347
113.900      0.06624     0.000345
118.500      0.06354     0.000342
123.400      0.0612      0.000339
128.400      0.05922     0.000337
133.600      0.05731     0.000335
139.100      0.05521     0.000334
144.800      0.05365     0.000333
150.700      0.0516      0.000332
156.800      0.05026     0.000332
163.200      0.04888     0.000331
169.900      0.04756     0.000331
176.800      0.04623     0.000332
184.000      0.04504     0.000332
191.500      0.0438      0.000333
199.400      0.04258     0.000334
207.500      0.04188     0.000336
216.000      0.04112     0.000337
224.800      0.04016     0.000339
234.000      0.03932     0.000341
243.500      0.03861     0.000344
253.500      0.03798     0.000347
263.800      0.03736     0.000350
274.600      0.0366      0.000352
285.800      0.03616     0.000355
297.400      0.03567     0.000358
309.600      0.03517     0.000361
322.200      0.03496     0.000364
335.400      0.03448     0.000366
349.000      0.03408     0.000368
363.300      0.03398     0.000369
378.100      0.03368     0.000370
393.600      0.03359     0.000370
409.600      0.0337      0.000370
426.300      0.03349     0.000370
443.700      0.03339     0.000373
461.900      0.03377     0.000378
480.700      0.03401     0.000389
500.300      0.03443     0.000409
