F.G.Perey et al, Rept: Oak Ridge National Lab. Reports, No.4823 (1972)
NatO(n,tot)
MeV          Barns       Error (Barns)   
0.23285      2.761       0.392       
0.23299      2.899       0.356       
0.23312      3.337       0.431       
0.23325      2.962       0.361       
0.23338      3.269       0.378       
0.23351      2.673       0.349       
0.23364      2.964       0.37        
0.23378      3.685       0.451       
0.23391      2.627       0.365       
0.23404      3.76        0.508       
0.23417      2.735       0.426       
0.2343       3.336       0.445       
0.23444      3.414       0.443       
0.23457      3.015       0.385       
0.2347       2.452       0.351       
0.23484      3.522       0.426       
0.23497      3.986       0.502       
0.2351       3.179       0.411       
0.23524      3.326       0.376       
0.23537      2.721       0.362       
0.2355       3.828       0.484       
0.23564      3.384       0.394       
0.23577      3.348       0.367       
0.2359       2.919       0.371       
0.23604      3.194       0.355       
0.23617      3.288       0.377       
0.23631      3.295       0.362       
0.23644      3.347       0.352       
0.23657      2.457       0.31        
0.23671      3.755       0.377       
0.23684      2.801       0.345       
0.23698      3.045       0.359       
0.23711      3.169       0.424       
0.23725      2.994       0.396       
0.23738      3.82        0.419       
0.23752      2.761       0.368       
0.23765      3.033       0.317       
0.23779      3.028       0.333       
0.23793      3.298       0.322       
0.23806      3.195       0.371       
0.2382       2.961       0.354       
0.23833      3.469       0.373       
0.23847      3.554       0.355       
0.2386       3.453       0.373       
0.23874      2.886       0.326       
0.23888      4.077       0.402       
0.23901      3.458       0.349       
0.23915      3.144       0.32        
0.23929      3.502       0.372       
0.23942      2.743       0.325       
0.23956      3.304       0.339       
0.2397       2.602       0.313       
0.23984      3.177       0.371       
0.23997      3.472       0.415       
0.24011      2.943       0.371       
0.24025      3.089       0.367       
0.24039      2.983       0.361       
0.24052      2.649       0.317       
0.24066      3.147       0.365       
0.2408       3.318       0.339       
0.24094      3.138       0.315       
0.24108      3.635       0.361       
0.24121      2.843       0.338       
0.24135      2.808       0.291       
0.24149      2.98        0.303       
0.24163      2.708       0.29        
0.24177      3.504       0.318       
0.24191      3.447       0.329       
0.24205      3.333       0.338       
0.24219      3.095       0.331       
0.24233      3.827       0.432       
0.24246      3.311       0.368       
0.2426       2.897       0.38        
0.24274      3.229       0.41        
0.24288      3.565       0.401       
0.24302      3.003       0.318       
0.24316      3.872       0.418       
0.2433       3.014       0.312       
0.24344      3.615       0.326       
0.24358      3.229       0.302       
0.24373      3.58        0.311       
0.24387      3.338       0.311       
0.24401      3.438       0.313       
0.24415      3.197       0.308       
0.24429      3.024       0.286       
0.24443      3.432       0.293       
0.24457      3.684       0.338       
0.24471      2.616       0.292       
0.24485      3.332       0.352       
0.245        3.13        0.35        
0.24514      3.2         0.335       
0.24528      2.938       0.335       
0.24542      3.809       0.366       
0.24556      3.331       0.352       
0.24571      3.279       0.327       
0.24585      3.472       0.323       
0.24599      2.95        0.303       
0.24613      2.569       0.286       
0.24628      3.066       0.289       
0.24642      2.762       0.281       
0.24656      3.106       0.316       
0.24671      3.707       0.352       
0.24685      3.511       0.312       
0.24699      3.118       0.3         
0.24714      3.391       0.315       
0.24728      3.317       0.346       
0.24742      2.824       0.291       
0.24757      3.117       0.287       
0.24771      3.286       0.293       
0.24786      3.583       0.321       
0.248        3.178       0.286       
0.24814      3.764       0.318       
0.24829      3.355       0.291       
0.24843      3.291       0.301       
0.24858      3.478       0.318       
0.24872      3.149       0.264       
0.24887      3.298       0.289       
0.24901      3.629       0.3         
0.24916      2.997       0.258       
0.2493       3.647       0.305       
0.24945      3.07        0.258       
0.24959      3.413       0.271       
0.24974      3.07        0.258       
0.24989      3.67        0.299       
0.25003      3.866       0.316       
0.25018      3.576       0.291       
0.25033      3.419       0.329       
0.25047      3.493       0.335       
0.25062      2.818       0.3         
0.25076      3.166       0.336       
0.25091      3.167       0.304       
0.25106      3.126       0.305       
0.25121      3.256       0.302       
0.25135      3.025       0.268       
0.2515       2.964       0.259       
0.25165      3.375       0.287       
0.2518       3.146       0.283       
0.25194      4.087       0.346       
0.25209      3.202       0.294       
0.25224      3.093       0.316       
0.25239      2.976       0.29        
0.25254      3.123       0.292       
0.25268      3.308       0.326       
0.25283      3.199       0.308       
0.25298      3.337       0.321       
0.25313      3.323       0.289       
0.25328      3.193       0.282       
0.25343      3.934       0.34        
0.25358      2.976       0.264       
0.25373      3.169       0.282       
0.25388      2.909       0.268       
0.25402      3.095       0.27        
0.25417      3.238       0.307       
0.25432      2.526       0.28        
0.25447      2.908       0.278       
0.25462      3.232       0.278       
0.25477      3.5         0.328       
0.25493      2.698       0.265       
0.25508      3.041       0.275       
0.25523      2.876       0.262       
0.25538      3.314       0.28        
0.25553      3.248       0.271       
0.25568      3.298       0.27        
