Literature data from R.W.Finlay et al (1993) (>5.29 MeV) and Perey et al (1972) (<5.29 MeV)
NatO(n,tot) 
MeV          Barns       Error (Barns)
1.55171      1.987       0.021       
1.55398      1.925       0.02        
1.55624      1.961       0.02        
1.55852      1.953       0.021       
1.5608       1.949       0.021       
1.56308      1.989       0.021       
1.56537      1.926       0.021       
1.56766      1.916       0.021       
1.56996      1.951       0.021       
1.57227      1.927       0.021       
1.57458      1.947       0.022       
1.57689      1.942       0.023       
1.57921      1.891       0.023       
1.58153      1.935       0.023       
1.58386      1.883       0.022       
1.5862       1.904       0.023       
1.58854      1.948       0.026       
1.59088      1.934       0.029       
1.59323      1.942       0.032       
1.59559      1.828       0.035       
1.59795      1.897       0.035       
1.60031      1.924       0.031       
1.60269      1.906       0.03        
1.60506      1.885       0.029       
1.60744      1.849       0.029       
1.60983      1.846       0.028       
1.61222      1.862       0.029       
1.61462      1.912       0.029       
1.61702      1.902       0.029       
1.61943      1.849       0.029       
1.62185      1.928       0.031       
1.62427      1.87        0.032       
1.62669      1.929       0.032       
1.62912      1.933       0.036       
1.63156      1.944       0.038       
1.634        2.003       0.039       
1.63644      2.091       0.041       
1.63889      2.155       0.037       
1.64135      2.244       0.035       
1.64382      2.54        0.038       
1.64628      2.803       0.044       
1.64876      3.522       0.062       
1.65124      3.714       0.07        
1.65372      3.143       0.057       
1.65621      2.643       0.048       
1.65871      2.267       0.041       
1.66121      2.049       0.036       
1.66372      1.947       0.032       
1.66623      1.869       0.031       
1.66875      1.901       0.029       
1.67128      1.926       0.027       
1.67381      1.871       0.026       
1.67635      1.818       0.026       
1.67889      1.813       0.024       
1.68144      1.783       0.024       
1.68399      1.827       0.023       
1.68655      1.893       0.023       
1.68912      1.863       0.023       
1.69169      1.814       0.022       
1.69427      1.805       0.022       
1.69685      1.799       0.022       
1.69944      1.769       0.022       
1.70203      1.769       0.022       
1.70463      1.765       0.022       
1.70724      1.751       0.02        
1.70985      1.718       0.021       
1.71247      1.732       0.021       
1.7151       1.729       0.02        
1.71773      1.746       0.02        
1.72037      1.701       0.02        
1.72301      1.697       0.02        
1.72566      1.705       0.02        
1.72831      1.687       0.02        
1.73098      1.713       0.02        
1.73364      1.687       0.02        
1.73632      1.732       0.02        
1.739        1.709       0.02        
1.74168      1.674       0.02        
1.74438      1.691       0.02        
1.74708      1.7         0.02        
1.74978      1.689       0.02        
1.75249      1.686       0.02        
1.75521      1.668       0.02        
1.75793      1.666       0.02        
1.76066      1.66        0.02        
1.7634       1.665       0.02        
1.76614      1.662       0.02        
1.76889      1.681       0.02        
1.77165      1.638       0.02        
1.77441      1.654       0.02        
1.77718      1.634       0.02        
1.77996      1.61        0.02        
1.78274      1.614       0.02        
1.78553      1.626       0.02        
1.78832      1.611       0.02        
1.79112      1.609       0.02        
1.79393      1.616       0.02        
1.79675      1.624       0.02        
1.79957      1.607       0.02        
1.8024       1.561       0.021       
1.80523      1.578       0.021       
1.80807      1.581       0.02        
1.81092      1.622       0.02        
1.81378      1.607       0.02        
1.81664      1.578       0.021       
1.81951      1.619       0.021       
1.82238      1.786       0.022       
1.82526      1.935       0.025       
1.82815      2.356       0.03        
1.83105      2.996       0.039       
1.83395      3.588       0.049       
1.83686      3.474       0.053       
1.83978      3.04        0.054       
1.8427       2.595       0.053       
1.84563      2.419       0.057       
1.84857      2.143       0.057       
1.85151      2.101       0.057       
1.85447      2.062       0.055       
1.85742      2.007       0.052       
1.86039      2.008       0.047       
1.86336      1.981       0.045       
1.86634      2.004       0.041       
1.86933      2.006       0.039       
1.87233      2.07        0.037       
1.87533      2.071       0.036       
1.87834      2.128       0.035       
1.88135      2.22        0.033       
1.88438      2.292       0.033       
1.88741      2.439       0.033       
1.89044      2.561       0.032       
1.89349      2.693       0.032       
1.89654      2.869       0.032       
1.8996       2.995       0.033       
1.90267      3.102       0.033       
1.90574      3.076       0.034       
1.90883      3.083       0.035       
1.91192      2.965       0.037       
1.91501      2.775       0.039       
1.91812      2.595       0.039       
1.92123      2.45        0.04        
1.92435      2.35        0.039       
1.92748      2.226       0.037       
1.93062      2.066       0.034       
1.93376      2.006       0.032       
1.93691      1.964       0.032       
1.94007      1.857       0.031       
1.94323      1.872       0.03        
1.94641      1.84        0.03        
1.94959      1.833       0.029       
1.95278      1.82        0.029       
1.95598      1.779       0.031       
1.95918      1.69        0.031       
1.9624       1.701       0.031       
1.96562      1.679       0.033       
1.96885      1.681       0.035       
1.97208      1.672       0.035       
1.97533      1.664       0.033       
1.97858      1.693       0.031       
1.98184      1.644       0.029       
1.98511      1.64        0.028       
1.98839      1.617       0.026       
1.99167      1.576       0.026       
1.99497      1.634       0.026       
1.99827      1.591       0.024       
2.00158      1.621       0.024       
2.0049       1.576       0.024       
2.00822      1.489       0.024       
2.01156      1.538       0.024       
2.0149       1.515       0.023       
2.01825      1.524       0.022       
2.02161      1.571       0.022       
2.02498      1.54        0.022       
2.02836      1.513       0.022       
2.03174      1.538       0.022       
2.03514      1.502       0.021       
2.03854      1.488       0.021       
2.04195      1.497       0.021       
2.04537      1.481       0.022       
2.0488       1.472       0.022       
2.05223      1.491       0.022       
2.05568      1.438       0.022       
2.05913      1.487       0.022       
2.06259      1.442       0.022       
2.06607      1.482       0.021       
2.06955      1.468       0.021       
2.07303      1.471       0.021       
2.07653      1.439       0.022       
2.08004      1.462       0.024       
2.08355      1.407       0.026       
2.08708      1.434       0.029       
2.09061      1.434       0.03        
2.09416      1.436       0.03        
2.09771      1.408       0.03        
2.10127      1.403       0.03        
2.10484      1.373       0.03        
2.10842      1.437       0.031       
2.112        1.388       0.032       
2.1156       1.422       0.032       
2.11921      1.442       0.03        
2.12282      1.335       0.029       
2.12645      1.352       0.026       
2.13008      1.315       0.025       
2.13372      1.323       0.024       
2.13738      1.36        0.024       
2.14104      1.327       0.024       
2.14471      1.358       0.024       
2.14839      1.299       0.024       
2.15208      1.355       0.024       
2.15578      1.301       0.024       
2.15949      1.289       0.024       
2.16321      1.294       0.024       
2.16694      1.271       0.025       
2.17068      1.317       0.025       
2.17443      1.281       0.025       
2.17818      1.248       0.025       
2.18195      1.259       0.024       
2.18573      1.232       0.023       
2.18952      1.268       0.023       
2.19331      1.236       0.023       
2.19712      1.249       0.023       
2.20094      1.202       0.023       
2.20476      1.195       0.023       
2.2086       1.16        0.023       
2.21245      1.162       0.023       
2.21631      1.11        0.024       
2.22017      1.166       0.025       
2.22405      1.095       0.027       
2.22794      1.109       0.025       
2.23184      1.103       0.025       
2.23574      1.063       0.023       
2.23966      1.039       0.022       
2.24359      1.014       0.022       
2.24753      0.988       0.022       
2.25148      1.013       0.022       
2.25544      0.96        0.022       
2.25941      0.918       0.022       
2.26339      0.916       0.022       
2.26738      0.881       0.022       
2.27138      0.841       0.023       
2.27539      0.812       0.024       
2.27942      0.799       0.025       
2.28345      0.77        0.026       
2.2875       0.678       0.026       
2.29155      0.674       0.025       
2.29562      0.581       0.025       
2.29969      0.559       0.024       
2.30378      0.455       0.024       
2.30788      0.453       0.023       
2.31199      0.365       0.022       
2.31611      0.354       0.022       
2.32024      0.304       0.021       
2.32439      0.215       0.021       
2.32854      0.191       0.02        
2.3327       0.169       0.02        
2.33688      0.176       0.02        
2.34107      0.132       0.02        
2.34527      0.099       0.021       
2.34948      0.137       0.021       
2.3537       0.128       0.021       
2.35793      0.121       0.021       
2.36218      0.163       0.021       
2.36643      0.16        0.022       
2.3707       0.214       0.023       
2.37498      0.217       0.023       
2.37927      0.264       0.022       
2.38357      0.345       0.022       
2.38789      0.37        0.022       
2.39221      0.404       0.021       
2.39655      0.449       0.021       
2.4009       0.534       0.021       
2.40526      0.525       0.021       
2.40963      0.58        0.021       
2.41402      0.634       0.022       
2.41841      0.668       0.021       
2.42282      0.704       0.022       
2.42724      0.721       0.022       
2.43168      0.752       0.022       
2.43612      0.795       0.022       
2.44058      0.809       0.022       
2.44505      0.847       0.023       
2.44953      0.855       0.024       
2.45403      0.902       0.026       
2.45853      0.906       0.028       
2.46305      0.946       0.028       
2.46758      0.934       0.028       
2.47213      0.96        0.027       
2.47669      0.99        0.028       
2.48126      1.013       0.03        
2.48584      1.002       0.032       
2.49043      0.984       0.034       
2.49504      0.978       0.036       
2.49966      0.97        0.035       
2.50429      0.958       0.032       
2.50894      0.996       0.032       
2.5136       1.006       0.03        
2.51827      1.067       0.03        
2.52296      1.01        0.03        
2.52766      1.03        0.03        
2.53237      1.015       0.03        
2.53709      1.029       0.03        
2.54183      1.078       0.03        
2.54658      1.066       0.03        
2.55135      1.147       0.03        
2.55613      1.037       0.03        
2.56092      1.044       0.03        
2.56572      1.123       0.03        
2.57054      1.045       0.03        
2.57537      1.056       0.03        
2.58022      1.041       0.03        
2.58508      1.1         0.03        
2.58995      1.077       0.03        
2.59484      1.072       0.03        
2.59974      1.091       0.03        
2.60466      1.138       0.03        
2.60958      1.056       0.03        
2.61453      1.107       0.029       
2.61948      1.071       0.029       
2.62446      1.078       0.029       
2.62944      1.037       0.028       
2.63444      1.093       0.029       
2.63945      1.074       0.029       
2.64448      1.108       0.029       
2.64953      1.083       0.03        
2.65458      1.136       0.031       
2.65965      1.12        0.031       
2.66474      1.053       0.03        
2.66984      1.064       0.03        
2.67496      1.083       0.027       
2.68009      1.129       0.027       
2.68523      1.045       0.027       
2.69039      1.072       0.03        
2.69557      1.109       0.03        
2.70076      1.08        0.03        
2.70596      1.12        0.03        
2.71118      1.11        0.03        
2.71642      1.057       0.03        
2.72167      1.138       0.029       
2.72693      1.038       0.027       
2.73221      1.066       0.027       
2.73751      1.098       0.029       
2.74282      1.072       0.029       
2.74815      1.124       0.029       
2.75349      1.007       0.03        
2.75885      1.081       0.029       
2.76422      1.069       0.03        
2.76961      1.091       0.03        
2.77502      1.134       0.031       
2.78044      1.134       0.031       
2.78588      1.108       0.031       
2.79133      1.104       0.031       
2.7968       1.032       0.03        
2.80228      1.066       0.031       
2.80779      1.074       0.031       
2.8133       1.06        0.031       
2.81884      1.075       0.031       
2.82439      1.075       0.032       
2.82996      1.054       0.033       
2.83554      1.114       0.035       
2.84114      1.063       0.035       
2.84676      1.124       0.035       
2.85239      1.066       0.037       
2.85804      1.131       0.037       
2.86371      1.057       0.036       
2.86939      1.092       0.035       
2.87509      1.138       0.033       
2.88081      1.124       0.031       
2.88654      1.096       0.03        
2.8923       1.146       0.03        
2.89807      1.118       0.03        
2.90385      1.027       0.03        
2.90966      1.043       0.03        
2.91548      1.131       0.029       
2.92132      1.128       0.03        
2.92717      1.12        0.031       
2.93305      1.13        0.031       
2.93894      1.144       0.031       
2.94485      1.093       0.03        
2.95078      1.165       0.029       
2.95672      1.135       0.027       
2.96269      1.113       0.027       
2.96867      1.111       0.027       
2.97467      1.181       0.027       
2.98069      1.14        0.029       
2.98672      1.157       0.029       
2.99278      1.187       0.031       
2.99885      1.25        0.032       
3.00494      1.249       0.034       
3.01105      1.259       0.035       
3.01718      1.22        0.035       
3.02333      1.269       0.034       
3.0295       1.245       0.034       
3.03568      1.252       0.033       
3.04189      1.321       0.034       
3.04811      1.343       0.034       
3.05435      1.351       0.034       
3.06062      1.388       0.034       
3.0669       1.379       0.034       
3.0732       1.35        0.032       
3.07952      1.392       0.032       
3.08586      1.484       0.033       
3.09222      1.464       0.034       
3.0986       1.51        0.037       
3.10499      1.578       0.039       
3.11141      1.671       0.04        
3.11785      1.646       0.039       
3.12431      1.751       0.04        
3.13079      1.701       0.04        
3.13729      1.772       0.044       
3.14381      1.808       0.045       
3.15035      1.965       0.043       
3.15691      2.034       0.041       
3.16349      2.065       0.041       
3.17009      2.109       0.041       
3.17671      2.186       0.041       
3.18336      2.232       0.04        
3.19002      2.327       0.041       
3.1967       2.465       0.043       
3.20341      2.676       0.046       
3.21014      2.769       0.048       
3.21689      2.739       0.049       
3.22366      2.798       0.052       
3.23045      2.863       0.054       
3.23726      2.989       0.057       
3.24409      2.875       0.052       
3.25095      2.913       0.052       
3.25783      3.093       0.052       
3.26473      3.068       0.052       
3.27165      3.085       0.052       
3.27859      3.196       0.055       
3.28556      3.172       0.053       
3.29255      3.17        0.053       
3.29956      3.052       0.05        
3.30659      3.179       0.053       
3.31364      3.262       0.053       
3.32072      3.205       0.053       
3.32782      3.287       0.055       
3.33495      3.142       0.053       
