R.W.Finlay et al, Jour: Physical Review, Part C, Nuclear Physics, Vol.47, p.237 (1993)
Natural O n,tot (R.W. Finlay et al (1993))
MeV         Barns       Error (Barns)      
72.6982     0.890614    0.0007475   
73.4289     0.890431    0.0007506   
74.1669     0.867188    0.0007615   
74.9123     0.850406    0.0007783   
75.6651     0.8542      0.0007914   
76.4256     0.854051    0.0007993   
77.1937     0.837598    0.0008332   
77.9695     0.820396    0.0008399   
78.7531     0.823758    0.0008416   
79.5446     0.814864    0.0008727   
80.344      0.801054    0.0008999   
81.1515     0.800499    0.0009017   
81.9671     0.790834    0.0009212   
82.7909     0.791316    0.0009416   
83.623      0.769947    0.0009617   
84.4634     0.761081    0.0009868   
85.3123     0.75013     0.0009962   
86.1697     0.746172    0.001014    
87.0357     0.734778    0.001023    
87.9104     0.739366    0.001061    
88.794      0.733863    0.001085    
89.6864     0.716509    0.001089    
90.5877     0.716718    0.00111     
91.4982     0.710772    0.00113     
92.4178     0.705529    0.001155    
93.3466     0.683366    0.001172    
94.2847     0.677939    0.001195    
95.2323     0.680978    0.001222    
96.1894     0.674805    0.00125     
97.1562     0.662391    0.001288    
98.1326     0.650455    0.001298    
99.1188     0.647288    0.001335    
100.115     0.64462     0.001346    
101.121     0.632875    0.00137     
102.137     0.632411    0.001398    
103.164     0.628882    0.001442    
104.201     0.616671    0.001483    
105.248     0.609219    0.001452    
106.306     0.601705    0.001499    
107.374     0.587455    0.001529    
108.453     0.58734     0.001562    
109.543     0.580533    0.001607    
110.644     0.571375    0.001645    
111.756     0.567517    0.001653    
112.879     0.569509    0.001711    
114.014     0.566559    0.001711    
115.16      0.564883    0.001749    
116.317     0.554509    0.001796    
117.486     0.546237    0.001826    
118.667     0.542886    0.001871    
119.86      0.532001    0.001873    
121.064     0.534687    0.001908    
122.281     0.527412    0.001928    
123.51      0.52266     0.001976    
124.751     0.520507    0.001989    
126.005     0.504873    0.002041    
127.271     0.51466     0.002063    
128.551     0.51168     0.002072    
129.842     0.50165     0.002113    
131.147     0.496389    0.002182    
132.465     0.487863    0.002184    
133.797     0.483368    0.00222     
135.141     0.479628    0.002273    
136.5       0.477428    0.002308    
137.872     0.474923    0.002351    
139.257     0.471628    0.002381    
140.657     0.470935    0.002436    
142.07      0.460827    0.00246     
143.498     0.453115    0.002465    
144.94      0.45482     0.002511    
146.397     0.447166    0.002573    
147.868     0.454704    0.002559    
149.355     0.441478    0.002627    
150.856     0.445842    0.00266     
152.372     0.435344    0.002635    
153.903     0.432319    0.002741    
155.45      0.433615    0.002734    
157.012     0.429693    0.002808    
158.59      0.424095    0.002794    
160.184     0.416443    0.002829    
161.794     0.420782    0.002868    
163.42      0.415399    0.002922    
165.062     0.413612    0.002963    
166.721     0.412326    0.003027    
168.397     0.407449    0.003018    
170.089     0.405124    0.003077    
171.799     0.399615    0.003039    
173.525     0.402263    0.00309     
175.269     0.401047    0.003142    
177.031     0.397791    0.003167    
178.81      0.397039    0.003193    
180.607     0.400597    0.003213    
182.422     0.388508    0.003273    
184.256     0.38857     0.003325    
186.107     0.386783    0.003401    
187.978     0.385919    0.003346    
189.867     0.383771    0.003466    
191.775     0.384948    0.003386    
193.703     0.383151    0.003401    
195.65      0.378667    0.003483    
197.616     0.370765    0.003499    
199.602     0.375901    0.003535    
201.608     0.381194    0.003554    
203.634     0.373207    0.003557    
205.681     0.369599    0.003591    
207.748     0.372463    0.00368     
209.836     0.372566    0.00371     
211.945     0.364287    0.003681    
214.075     0.369009    0.003696    
216.226     0.370679    0.003737    
218.399     0.360363    0.003765    
220.594     0.367243    0.003818    
222.811     0.361496    0.003836    
225.051     0.365952    0.003846    
227.313     0.368178    0.003846    
229.597     0.365299    0.003836    
231.905     0.36307     0.003872    
234.235     0.369216    0.003954    
236.589     0.357784    0.003989    
238.967     0.350669    0.003885    
241.369     0.352627    0.003991    
243.795     0.359589    0.00401     
246.245     0.35846     0.003976    
248.72      0.358348    0.004031    
251.22      0.354843    0.003997    
253.744     0.353732    0.004043    
256.295     0.354452    0.004059    
258.87      0.35228     0.004143    
261.472     0.351147    0.00414     
264.1       0.355399    0.004119    
266.754     0.353359    0.004101    
269.435     0.350029    0.004155    
272.143     0.355996    0.004151    
274.878     0.351891    0.00416     
277.641     0.351249    0.004195    
280.431     0.354191    0.004156    
283.25      0.356111    0.004183    
286.096     0.350394    0.004231    
288.972     0.352789    0.004227    
291.876     0.353489    0.004215    
294.809     0.358348    0.004211    
297.772     0.348826    0.004149    
300.765     0.356718    0.004296    
303.788     0.357285    0.004318    
306.841     0.353576    0.004288    
309.925     0.353536    0.004262    
313.039     0.352492    0.004285    
316.186     0.35485     0.004289    
319.363     0.353184    0.004323    
322.573     0.353759    0.004372    
325.815     0.355533    0.004296    
329.089     0.357948    0.004193    
332.397     0.353885    0.004305    
335.738     0.352406    0.004312    
339.112     0.355851    0.004379    
342.52      0.365243    0.00428     
345.962     0.362748    0.004346    
349.439     0.36208     0.00432     
352.951     0.35692     0.004256    
356.498     0.362412    0.004329    
360.081     0.35338     0.004322    
363.7       0.3513      0.004252    
367.356     0.361526    0.004389    
371.048     0.368305    0.004277    
374.777     0.36232     0.004276    
378.543     0.364479    0.004284    
382.348     0.366175    0.004227    
386.19      0.372025    0.004285    
390.072     0.368427    0.004265    
393.992     0.363716    0.004227    
397.952     0.376306    0.004318    
401.951     0.370652    0.004271    
405.991     0.364185    0.00423     
410.071     0.368652    0.004198    
414.193     0.363805    0.004151    
418.355     0.377877    0.004183    
422.56      0.372941    0.004169    
426.807     0.369155    0.004159    
431.096     0.374784    0.004115    
435.429     0.376993    0.004165    
439.805     0.384765    0.004128    
444.225     0.367493    0.004126    
448.69      0.37187     0.004098    
453.199     0.376444    0.004098    
457.754     0.381196    0.004096    
462.354     0.374737    0.004067    
467.001     0.381007    0.00409     
471.695     0.383446    0.004161    
476.435     0.388757    0.004143    
481.224     0.392088    0.004052    
486.06      0.391058    0.004069    
490.945     0.399214    0.004047    
495.879     0.392282    0.004064    
500.863     0.393017    0.003983    
505.897     0.38962     0.00402     
510.981     0.405172    0.004117    
516.117     0.396288    0.004109    
521.304     0.399036    0.004116    
526.543     0.399171    0.004144    
531.835     0.399497    0.004209    
537.18      0.398426    0.004227    
542.579     0.40533     0.004356    
548.032     0.411125    0.004334    
553.539     0.404945    0.004515    
559.103     0.409751    0.004565    
564.722     0.409819    0.004769    
570.397     0.405097    0.00488     
576.13      0.416126    0.00488     
581.92      0.435174    0.005017    
587.769     0.415389    0.005313    
593.676     0.43179     0.005503    
599.643     0.422416    0.005612    
