Literature data from W.P.Abfalterer (2001)
Natural Pb (n,tot)
MeV         Barns       Error(Barns)
93.35       4.768       0.02251     
94.28       4.731       0.02247     
95.23       4.72        0.02247     
96.19       4.687       0.02243     
97.16       4.682       0.02239     
98.13       4.68        0.02235     
99.12       4.676       0.02232     
100.1       4.662       0.02223     
101.1       4.641       0.02222     
102.1       4.614       0.02215     
103.2       4.605       0.02214     
104.2       4.57        0.02208     
105.2       4.55        0.02197     
106.3       4.539       0.02196     
107.4       4.53        0.02195     
108.5       4.487       0.02183     
109.5       4.472       0.02174     
110.6       4.46        0.0217      
111.8       4.411       0.02166     
112.9       4.412       0.02162     
114.        4.381       0.02155     
115.2       4.355       0.02146     
116.3       4.326       0.02137     
117.5       4.289       0.02133     
118.7       4.269       0.02129     
119.9       4.267       0.02124     
121.1       4.25        0.02118     
122.3       4.23        0.02111     
123.5       4.181       0.02105     
124.8       4.162       0.02102     
126.        4.107       0.0209      
127.3       4.058       0.02083     
128.6       4.051       0.02077     
129.8       4.033       0.02069     
131.1       4.016       0.02067     
132.5       3.973       0.02062     
133.8       3.936       0.02055     
135.1       3.893       0.02054     
136.5       3.854       0.02042     
137.9       3.837       0.02036     
139.3       3.818       0.02037     
140.7       3.813       0.02034     
142.1       3.787       0.02028     
143.5       3.768       0.02021     
144.9       3.714       0.02012     
146.4       3.689       0.02011     
147.9       3.655       0.0201      
149.4       3.649       0.02003     
150.9       3.613       0.02001     
152.4       3.59        0.01999     
153.9       3.563       0.01985     
155.5       3.527       0.01982     
157.        3.49        0.01988     
158.6       3.487       0.01981     
160.2       3.444       0.01976     
161.8       3.445       0.01976     
163.4       3.431       0.01967     
165.1       3.392       0.01968     
166.7       3.364       0.01968     
168.4       3.354       0.01961     
170.1       3.309       0.01958     
171.8       3.268       0.01958     
173.5       3.288       0.01951     
175.3       3.291       0.01957     
177.        3.278       0.0196      
178.8       3.246       0.01956     
180.6       3.218       0.01954     
182.4       3.196       0.01956     
184.3       3.175       0.0196      
186.1       3.145       0.01953     
188.        3.116       0.01951     
189.9       3.11        0.01953     
191.8       3.138       0.01952     
193.7       3.109       0.01949     
195.7       3.082       0.01953     
197.6       3.082       0.01956     
199.6       3.064       0.01951     
201.6       3.036       0.01947     
203.6       3.017       0.01954     
205.7       3.025       0.0196      
207.7       3.          0.01959     
209.8       2.968       0.01958     
211.9       2.982       0.01958     
214.1       2.951       0.01961     
216.2       2.961       0.01958     
218.4       2.961       0.01963     
220.6       2.94        0.01968     
222.8       2.922       0.01966     
225.1       2.926       0.01963     
227.3       2.915       0.0197      
229.6       2.912       0.01979     
231.9       2.901       0.01982     
234.2       2.881       0.01985     
236.6       2.89        0.01994     
239.        2.899       0.01997     
241.4       2.89        0.01996     
243.8       2.85        0.01992     
246.2       2.872       0.02001     
248.7       2.904       0.02009     
251.2       2.877       0.02008     
253.7       2.86        0.02009     
256.3       2.865       0.02014     
258.9       2.857       0.02019     
261.5       2.856       0.02025     
264.1       2.844       0.02028     
266.8       2.838       0.02026     
269.4       2.84        0.0204      
272.1       2.843       0.02049     
274.9       2.851       0.02056     
277.6       2.835       0.02051     
280.4       2.844       0.02056     
283.3       2.832       0.02062     
286.1       2.819       0.02069     
289.        2.826       0.02074     
291.9       2.836       0.02077     
294.8       2.851       0.02084     
297.8       2.836       0.02089     
300.8       2.835       0.02092     
303.8       2.841       0.02093     
306.8       2.85        0.02101     
309.9       2.855       0.02111     
313.        2.85        0.02115     
316.2       2.842       0.02115     
319.4       2.863       0.0212      
322.6       2.841       0.02124     
325.8       2.849       0.0213      
329.1       2.864       0.02131     
332.4       2.857       0.02133     
335.7       2.855       0.0214      
339.1       2.85        0.02142     
342.5       2.868       0.02151     
346.        2.867       0.02157     
349.4       2.892       0.02157     
353.        2.895       0.02159     
