Literature data from R. B. Schwartz (1973)
Natural Ni (n,tot)
MeV       Barns     Error(Barns)
1.305     3.255     0.04708
1.306     3.230     0.04798
1.307     3.180     0.04823
1.308     3.136     0.04636
1.309     3.326     0.04802
1.310     3.165     0.04627
1.311     3.161     0.04628
1.312     3.214     0.04665
1.313     3.251     0.04883
1.314     3.424     0.05107
1.315     3.698     0.05553
1.316     3.574     0.05416
1.317     3.537     0.05378
1.318     3.770     0.05778
1.319     3.799     0.05792
1.320     3.731     0.05895
1.322     3.640     0.05901
1.323     3.505     0.05462
1.324     3.295     0.05111
1.325     3.218     0.05011
1.326     3.179     0.04814
1.327     3.223     0.05033
1.328     3.401     0.05102
1.329     3.338     0.05164
1.330     3.563     0.05407
1.331     3.548     0.05503
1.332     3.459     0.05501
1.333     3.654     0.05621
1.334     3.620     0.05884
1.335     3.616     0.05737
1.336     3.655     0.05709
1.337     3.434     0.05254
1.338     3.216     0.05085
1.339     3.194     0.05139
1.341     3.210     0.04958
1.342     3.263     0.05034
1.343     3.280     0.05115
1.344     3.387     0.05206
1.345     3.415     0.05520
1.346     3.609     0.05789
1.347     3.864     0.06270
1.348     3.919     0.06274
1.349     4.019     0.06407
1.350     3.977     0.06290
1.351     3.942     0.06007
1.353     4.047     0.06331
1.354     3.904     0.06197
1.355     3.797     0.05800
1.356     3.635     0.05676
1.357     3.419     0.05155
1.358     3.155     0.04715
1.359     3.048     0.04265
1.360     2.779     0.03865
1.361     2.603     0.03704
1.362     2.476     0.03472
1.363     2.412     0.03253
1.365     2.423     0.03308
1.366     2.385     0.03097
1.367     2.351     0.03136
1.368     2.341     0.03180
1.369     2.407     0.03218
1.370     2.532     0.03446
1.371     2.794     0.03803
1.372     3.114     0.04360
1.373     3.281     0.04729
1.375     3.466     0.04952
1.376     3.437     0.05254
1.377     3.489     0.05255
1.378     3.518     0.05392
1.379     3.554     0.05561
1.380     3.584     0.05464
1.381     3.406     0.05368
1.382     3.444     0.05310
1.383     3.299     0.05069
1.385     3.246     0.04840
1.386     3.124     0.04727
1.387     3.029     0.04608
1.388     3.004     0.05105
1.389     2.810     0.04187
1.390     2.815     0.04264
1.391     2.760     0.04062
1.392     2.750     0.04223
1.394     2.810     0.04193
1.395     2.703     0.04022
1.396     2.566     0.03899
1.397     2.466     0.03590
1.398     2.436     0.03592
1.399     2.338     0.03461
1.400     2.392     0.03546
1.402     2.510     0.03782
1.403     2.624     0.03839
1.404     2.635     0.03791
1.405     2.685     0.03777
1.406     2.678     0.03809
1.407     2.749     0.03850
1.409     2.652     0.03667
1.410     2.632     0.03266
1.411     2.838     0.03967
1.412     3.032     0.04307
1.413     3.060     0.04355
1.414     3.087     0.04360
1.416     2.962     0.04287
1.417     2.972     0.04081
1.418     2.903     0.04066
1.419     2.936     0.04234
1.420     2.940     0.04069
