Literature data from W.P.Abfalterer 2001   
Natural C (n,tot)
MeV        barns        barns (error)
1.8476       1.7625     0.016219 
1.8516       1.7599     0.016157 
1.8555       1.7443     0.015981 
1.8595       1.7684     0.015968 
1.8634       1.7332     0.015775 
1.8674       1.7134     0.015707 
1.8714       1.7299     0.015611 
1.8754       1.7192       0.0156 
1.8795       1.7587     0.015617 
1.8835       1.7401      0.01552 
1.8875       1.7001     0.015269 
1.8916       1.7116     0.015396 
1.8957       1.7123     0.015487 
1.8998       1.7027     0.015327 
1.9039        1.724     0.015465 
1.908       1.7341      0.01548  
1.9121       1.6702     0.015222 
1.9163       1.6943     0.015193 
1.9204       1.6779     0.015032 
1.9246       1.6753     0.014942 
1.9288       1.7041     0.014908 
1.933       1.6862      0.01478  
1.9372       1.6776      0.01463 
1.9414       1.6603     0.014545 
1.9456       1.6785     0.014471 
1.9499       1.6862     0.014413 
1.9542       1.6684     0.014259 
1.9584       1.6992     0.014261 
1.9627       1.6675     0.014161 
1.967       1.6998     0.014061  
1.9714       1.6476     0.013932 
1.9757       1.6706     0.013937 
1.9801       1.6435     0.013866 
1.9844       1.6513     0.013909 
1.9888       1.6638     0.013793 
1.9932       1.6569     0.013743 
1.9976       1.6224      0.01363 
2.002       1.6388     0.013612  
2.0065       1.6185     0.013413 
2.0109         1.66     0.013596 
2.0154       1.6443     0.013472 
2.0199       1.6209     0.013339 
2.0244         1.65     0.013366 
2.0289       1.6851     0.013434 
2.0334       1.6555     0.013326 
2.038       1.6765     0.013345  
2.0425       1.6731     0.013205 
2.0471        1.691     0.013257 
2.0517       1.7201      0.01335 
2.0563       1.7732     0.013544 
2.0609       1.8675      0.01391 
2.0656       2.0027     0.014572 
2.0702       2.3664     0.016171 
2.0749       3.0789     0.020475 
2.0796       3.6904      0.02524 
2.0843       3.2273     0.021624 
2.089        2.571     0.017306  
2.0937       2.1492     0.014985 
2.0984       1.9711     0.014001 
2.1032       1.8853     0.013481 
2.108       1.8328     0.013286  
2.1128       1.7699     0.012933 
2.1176       1.7525     0.012896 
2.1224       1.7346     0.012752 
2.1273       1.7062     0.012552 
2.1321       1.6958     0.012461 
2.137        1.679     0.012353  
2.1419       1.6747      0.01227 
2.1468       1.6591      0.01216 
2.1518       1.6831     0.012179 
2.1567       1.6513     0.012072 
2.1617       1.6631     0.011954 
2.1667       1.6501     0.011908 
2.1717       1.6332     0.011813 
2.1767       1.6357      0.01175 
2.1817       1.6303     0.011654 
2.1868       1.6319     0.011658 
2.1918       1.6334     0.011633 
2.1969       1.6513     0.011634 
2.202       1.6138     0.011452  
2.2071       1.6123     0.011411 
2.2123       1.6252     0.011402 
2.2174       1.6236     0.011357 
2.2226       1.6178     0.011356 
2.2278       1.6239     0.011272 
2.233       1.5809     0.011067  
2.2383       1.6057     0.011071 
2.2435       1.6183     0.011021 
2.2488       1.6173     0.010959 
2.2541       1.5998     0.010805 
2.2594       1.5802     0.010638 
2.2647       1.6014     0.010692 
2.27       1.5939     0.010568  
2.2754       1.5838      0.01039 
2.2808       1.6094     0.010407 
2.2862       1.5977     0.010327 
2.2916       1.5916     0.010223 
2.297        1.578     0.010154  
2.3025       1.5941      0.01015 
2.308       1.5848     0.010046  
2.3134       1.5793    0.0099594 
2.319       1.5854    0.0099308  
2.3245       1.5815    0.0097834 
2.33       1.5825    0.0097352  
2.3356       1.5986    0.0096474 
2.3412       1.5858    0.0096002 
2.3468       1.5655    0.0095023 
