Literature data from D.C. Larson (1980)
MeV          Barns       Error(barns)
64.313       4.6826      0.12416
65.26        4.7127      0.12797
66.228       4.8839      0.1306 
67.218       4.7528      0.134  
68.232       4.7931      0.1395 
69.27        4.8931      0.14362
70.332       4.5703      0.14603
71.42        4.8207      0.15338
72.535       4.8268      0.15782
73.676       4.9824      0.16575
74.846       5.0986      0.17249
76.045       5.0103      0.18089
77.275       4.824       0.18397
78.535       4.8918      0.19282
79.828       4.6577      0.2009 
