Literature data from W.P. Abfalterer (2001) [>5.293 MeV] and R.B.  Schwartz [< 5.293 MeV]
Natural Ni (n,tot)
MeV         Barns       Error(Barns)
82.79       2.182       0.004538     
83.62       2.175       0.004522     
84.46       2.156       0.00449      
85.31       2.14        0.004469     
86.17       2.125       0.004441     
87.04       2.113       0.004417     
87.91       2.095       0.004392     
88.79       2.079       0.004363     
89.69       2.067       0.004348     
90.59       2.052       0.00431      
91.5        2.043       0.004296     
92.42       2.025       0.004271     
93.35       2.01        0.004243     
94.28       1.993       0.004214     
95.23       1.972       0.004187     
96.19       1.957       0.004171     
97.16       1.942       0.004143     
98.13       1.926       0.004113     
99.12       1.908       0.004092     
100.1       1.895       0.004066     
101.1       1.881       0.004048     
102.1       1.86        0.00402      
103.2       1.842       0.004001     
104.2       1.826       0.003983     
105.2       1.818       0.003962     
106.3       1.804       0.00394      
107.4       1.783       0.003918     
108.5       1.766       0.003896     
109.5       1.749       0.003876     
110.6       1.735       0.003849     
111.8       1.718       0.003833     
112.9       1.704       0.003818     
114         1.695       0.003804     
115.2       1.675       0.003787     
116.3       1.659       0.003762     
117.5       1.645       0.003744     
118.7       1.631       0.003728     
119.9       1.62        0.003716     
121.1       1.605       0.003699     
122.3       1.589       0.00368      
123.5       1.572       0.003662     
124.8       1.556       0.003641     
126         1.542       0.003625     
127.3       1.535       0.003622     
128.6       1.52        0.00361      
129.8       1.508       0.00359      
131.1       1.498       0.003578     
132.5       1.486       0.003564     
133.8       1.47        0.003553     
135.1       1.454       0.00354      
136.5       1.442       0.003526     
137.9       1.431       0.003516     
139.3       1.415       0.003501     
140.7       1.401       0.003486     
142.1       1.394       0.00348      
143.5       1.383       0.003466     
144.9       1.369       0.003457     
146.4       1.359       0.003456     
147.9       1.347       0.003441     
149.4       1.343       0.003434     
150.9       1.33        0.003429     
152.4       1.316       0.003416     
153.9       1.31        0.003408     
155.5       1.3         0.003405     
157         1.288       0.003399     
158.6       1.277       0.00339      
160.2       1.265       0.003388     
161.8       1.257       0.00338      
163.4       1.255       0.003369     
165.1       1.246       0.00337      
166.7       1.238       0.003371     
168.4       1.227       0.003356     
170.1       1.218       0.003348     
171.8       1.21        0.003351     
173.5       1.204       0.003341     
175.3       1.196       0.00334      
177         1.19        0.003343     
178.8       1.183       0.003343     
180.6       1.173       0.003337     
182.4       1.168       0.003334     
184.3       1.165       0.003337     
186.1       1.156       0.003334     
188         1.151       0.003329     
189.9       1.144       0.003329     
191.8       1.14        0.003332     
