Literature data from J.A. Harvey et al (1991) (to 5.29 MeV); R.W. Finlay et al (1993) (>5.29 MeV)
NatN(n,tot)
MeV        Barns       Error (Barns)
1.592      3.0309      0.016838 
1.5934     3.2497      0.017498 
1.5948     3.4107      0.017727 
1.5961     3.5735      0.018146 
1.5975     3.6353      0.018193 
1.5989     3.6617      0.018361 
1.6003     3.5409      0.018134 
1.6017     3.3884      0.017835 
1.6031     3.2309      0.017231 
1.6045     3.0247      0.016515 
1.6059     2.8888      0.016124 
1.6073     2.7203      0.016115 
1.6087     2.5733      0.016226 
1.6101     2.5246      0.015998 
1.6115     2.4064      0.015829 
1.6129     2.356       0.015993 
1.6143     2.2589      0.015981 
1.6157     2.2532      0.015982 
1.6171     2.2137      0.015769 
1.6185     2.1489      0.015511 
1.62       2.1279      0.015418 
1.6214     2.0753      0.015439 
1.6228     2.0802      0.015656 
1.6249     2.0314      0.011041 
1.6278     1.9908      0.010931 
1.6306     1.9817      0.010631 
1.6335     1.9451      0.010737 
1.6364     1.931       0.010863 
1.6393     1.9077      0.010484 
1.6421     1.9012      0.010435 
1.645      1.9048      0.010464 
1.6479     1.8815      0.010712 
1.6509     1.8738      0.011106 
1.6538     1.8814      0.010711 
1.6567     1.8739      0.01067  
1.6596     1.8826      0.010761 
1.6626     1.873       0.010638 
1.6655     1.8798      0.010661 
1.6685     1.8733      0.011038 
1.6714     1.8388      0.011084 
1.6744     1.8678      0.011193 
1.6774     1.885       0.010922 
1.6804     1.8624      0.010665 
1.6834     1.8583      0.010421 
1.6864     1.8333      0.010464 
1.6894     1.8563      0.010653 
1.6924     1.8491      0.010683 
1.6955     1.8404      0.010537 
1.6985     1.8484      0.010787 
1.7015     1.8582      0.010839 
1.7046     1.8685      0.010806 
1.7077     1.8675      0.01075  
1.7107     1.8537      0.010813 
1.7138     1.867       0.010785 
1.7169     1.8734      0.01083  
1.72       1.8905      0.010967 
1.7231     1.8928      0.010774 
1.7262     1.8973      0.01058  
1.7287     1.9057      0.013815 
1.7306     1.9121      0.014018 
1.7325     1.9224      0.013987 
1.7343     1.9302      0.01399  
1.7362     1.9615      0.014411 
1.7381     1.9511      0.014507 
1.74       1.9781      0.014384 
1.7419     1.9844      0.014189 
1.7438     2.0199      0.014261 
1.7457     2.0005      0.014358 
1.7476     2.05        0.014463 
1.7495     2.069       0.014912 
1.7514     2.0831      0.015524 
1.7533     2.1356      0.015448 
1.7552     2.1805      0.015177 
1.7572     2.1788      0.01498  
1.7591     2.2406      0.014848 
1.761      2.279       0.01495  
1.7629     2.31        0.01523  
1.7649     2.4116      0.015482 
1.7668     2.4304      0.015242 
1.7687     2.5158      0.015297 
1.7707     2.596       0.015259 
1.7726     2.6581      0.01556  
1.7746     2.745       0.016048 
1.7765     2.8155      0.015982 
1.7785     2.8914      0.016102 
1.7804     2.9492      0.016408 
1.7824     2.9872      0.016679 
1.7844     3.0409      0.016644 
1.7863     3.0184      0.016109 
1.7883     3.0089      0.016059 
1.7903     2.9626      0.016228 
1.7923     2.8732      0.015824 
1.7942     2.8725      0.015683 
1.7962     2.7448      0.015594 
1.7982     2.6487      0.015448 
1.8002     2.5599      0.015266 
1.8022     2.4999      0.015207 
1.8042     2.452       0.015421 
1.8062     2.3601      0.01511  
1.8082     2.3126      0.014974 
1.8102     2.2658      0.014725 
1.8122     2.1867      0.014357 
1.8142     2.1232      0.014398 
1.8162     2.0826      0.014443 
1.8183     2.0524      0.014395 
1.8203     2.0207      0.014433 
1.8223     2.0054      0.014693 
1.8243     1.9944      0.014612 
1.8271     1.9385      0.011357 
1.8305     1.8996      0.011551 
1.8339     1.8921      0.011393 
1.8373     1.8422      0.011245 
1.8407     1.8205      0.011124 
1.8441     1.8094      0.011157 
1.8476     1.7838      0.011304 
1.851      1.7675      0.011365 
1.8545     1.7696      0.011394 
1.858      1.7446      0.011281 
1.8615     1.74        0.011197 
1.865      1.7273      0.01119  
1.8685     1.7393      0.011151 
1.872      1.7122      0.011446 
1.8755     1.7038      0.011445 
1.8791     1.7193      0.011464 
1.8826     1.6835      0.011444 
1.8862     1.66        0.011372 
1.8897     1.6871      0.011302 
1.8933     1.6723      0.011058 
1.8969     1.6683      0.010925 
1.9005     1.6684      0.011148 
1.9041     1.6541      0.011421 
1.9077     1.6222      0.011367 
1.9113     1.646       0.011447 
1.915      1.6315      0.011531 
1.9186     1.6393      0.011456 
1.9223     1.6266      0.011379 
1.9259     1.6317      0.011594 
1.9296     1.6138      0.011639 
1.9333     1.606       0.011743 
1.937      1.6021      0.01199  
1.9407     1.5885      0.012124 
1.9444     1.622       0.01166  
1.9482     1.6082      0.011409 
1.9519     1.6143      0.011374 
1.9557     1.5953      0.011459 
1.9594     1.5933      0.011311 
1.9632     1.5843      0.011307 
1.967      1.5828      0.011402 
1.9708     1.5766      0.011468 
1.9746     1.5803      0.011633 
