Literature data from C. M. Perey (1993)
Ni-58 (n,tot)
MeV       Barns       Error(Barns)
4.692     3.5808      0.13963      
4.684     3.4142      0.13942      
4.675     3.6468      0.14124      
4.667     3.2305      0.13997      
4.659     3.4938      0.14008      
4.650     3.4988      0.13925      
4.642     3.6041      0.14048      
4.634     3.6023      0.14         
4.626     3.319       0.14009      
4.617     3.9007      0.14117      
4.609     3.4118      0.13691      
4.601     3.7734      0.13933      
4.593     3.5022      0.13885      
4.585     3.4537      0.14022      
4.577     3.5225      0.13987      
4.569     3.3483      0.13701      
4.561     3.4448      0.1386       
4.553     3.7471      0.14113      
4.544     3.2632      0.13886      
4.536     3.6317      0.13968      
4.529     3.4614      0.1405       
4.521     3.7586      0.13943      
4.513     3.98        0.14223      
4.505     3.6249      0.13858      
4.497     3.674       0.14025      
4.489     4.1339      0.14387      
4.481     3.4743      0.1422       
4.473     3.6112      0.14138      
4.465     3.5484      0.1432       
4.458     3.5553      0.14299      
4.450     3.3436      0.14008      
4.442     3.6083      0.14067      
4.434     3.8452      0.13996      
4.427     3.2661      0.13779      
4.419     3.8262      0.1425       
4.411     3.609       0.14019      
4.404     3.6378      0.14085      
4.396     3.623       0.14088      
4.388     3.7534      0.14208      
4.381     3.4458      0.13996      
4.373     3.56        0.13867      
4.366     3.3802      0.13944      
4.358     3.6872      0.14097      
4.351     3.3728      0.14114      
4.343     3.8811      0.14547      
4.336     3.855       0.14261      
4.328     3.164       0.13975      
4.321     3.5912      0.13971      
4.313     3.2409      0.13785      
4.306     3.7146      0.13952      
4.299     2.7653      0.1335       
4.291     3.5155      0.13765      
4.284     3.4893      0.13755      
4.277     3.338       0.13616      
4.269     3.8481      0.13979      
4.262     3.7523      0.13909      
4.255     3.8964      0.13853      
4.248     3.0857      0.13553      
4.240     3.3328      0.13462      
4.233     3.6659      0.13592      
4.226     3.3897      0.13394      
4.219     3.4254      0.13471      
4.212     3.8922      0.13724      
4.205     3.3872      0.13308      
4.197     3.4104      0.13475      
4.190     3.2717      0.13102      
4.183     3.6898      0.13481      
4.176     3.4324      0.13417      
4.169     3.066       0.13123      
4.162     3.4089      0.13377      
4.155     3.1239      0.13142      
4.148     3.2599      0.13179      
4.141     3.6048      0.13561      
4.134     3.6321      0.13464      
4.127     3.4824      0.13373      
4.120     3.2414      0.13298      
4.113     3.4413      0.13237      
4.107     3.6289      0.13254      
4.100     3.0561      0.13115      
4.093     3.8511      0.13417      
4.086     3.4729      0.13298      
4.079     3.422       0.13295      
4.072     3.2791      0.13282      
4.066     3.7399      0.13376      
4.059     3.556       0.13447      
4.052     3.8623      0.13608      
4.045     3.381       0.13507      
4.039     3.5922      0.13398      
4.032     3.3227      0.13358      
4.025     2.8987      0.1293       
4.019     3.3033      0.13331      
4.012     3.337       0.13247      
4.005     3.2245      0.13296      
3.999     3.4184      0.13473      
3.992     3.5399      0.13286      
3.986     3.5128      0.13332      
3.979     3.2315      0.13222      
3.972     3.3991      0.1341       
3.966     3.1608      0.13302      
3.959     3.5121      0.13434      
3.953     3.2531      0.13212      
3.946     3.7204      0.1336       
3.936     3.6828      0.13363      
3.929     3.3532      0.13162      
3.923     3.5749      0.13268      
3.916     3.0688      0.12789      
3.910     3.4525      0.13364      
3.904     3.7222      0.13249      
3.897     3.641       0.13126      
3.891     3.3859      0.13177      
3.885     3.4205      0.12996      
3.878     3.8052      0.13209      
3.872     3.2752      0.12943      
3.866     4.0879      0.13511      
3.859     3.7076      0.13204      
3.853     3.657       0.13183      
3.847     3.5642      0.13173      
3.841     3.2703      0.12977      
3.834     3.1569      0.12939      
3.828     3.3894      0.13027      
3.822     3.4025      0.12989      
3.816     3.3855      0.12929      
3.810     3.424       0.13013      
3.804     3.0732      0.13051      
3.797     3.5889      0.13247      
3.791     3.2122      0.1287       
3.785     3.8982      0.13306      
3.779     3.6212      0.13124      
3.773     3.4001      0.13183      
3.767     3.3366      0.13211      
3.761     3.4895      0.1316       
3.755     3.6356      0.13427      
3.749     3.7142      0.13201      
3.743     3.2112      0.12857      
3.737     2.8586      0.12703      
3.731     3.214       0.12824      
3.725     3.7292      0.12941      
3.719     3.5607      0.13001      
3.713     3.1832      0.1272       
3.707     2.9738      0.12635      
3.702     3.0363      0.12708      
3.696     3.1975      0.12783      
3.690     3.1662      0.12589      
3.684     3.4127      0.12925      
3.678     3.427       0.1272       
3.672     3.7893      0.13274      
3.666     3.8408      0.13255      
3.661     3.4415      0.12786      
3.655     3.3245      0.12818      
3.649     3.416       0.12726      
3.643     3.1744      0.12763      
3.638     3.3441      0.12841      
3.632     3.4674      0.12843      
3.626     3.1575      0.12599      
3.621     3.635       0.12941      
3.615     3.7287      0.12881      
3.609     3.5413      0.12771      
3.604     3.8372      0.12946      
3.598     3.572       0.12761      
3.592     3.2916      0.12593      
3.587     3.7356      0.12877      
3.581     3.5373      0.12791      
3.575     3.3352      0.12676      
3.570     3.9465      0.12882      
3.564     3.6353      0.12842      
3.559     3.2373      0.12565      
3.553     3.4599      0.12724      
3.548     3.6477      0.12768      
3.542     3.2812      0.12684      
3.537     3.5591      0.12619      
3.531     4.1263      0.12843      
3.526     4.024       0.13035      
3.520     3.1804      0.12575      
3.515     3.5623      0.12809      
3.509     3.5304      0.12675      
3.504     3.2083      0.12605      
3.499     3.7033      0.127        
