#ZVView-data-copy:  10-Nov-2015 14:42:01
#=======================================
#
#name:   6-C-0(N,TOT),,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  3
#ldata:  2444
#data...
#            X            Y         +-dY  # Comments...
#          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
       0.86536       2.7335     0.064048  # 2001,W.P.Abfalterer+     ## 13794002
       0.86662       2.6677     0.065078  # 2001,W.P.Abfalterer+     ## 13794002
       0.86788       2.8104     0.065281  # 2001,W.P.Abfalterer+     ## 13794002
       0.86915       2.7092      0.06475  # 2001,W.P.Abfalterer+     ## 13794002
       0.87042       2.7711     0.065062  # 2001,W.P.Abfalterer+     ## 13794002
       0.87169       2.7985     0.065906  # 2001,W.P.Abfalterer+     ## 13794002
       0.87296       2.7261     0.065158  # 2001,W.P.Abfalterer+     ## 13794002
       0.87424       2.6495     0.062312  # 2001,W.P.Abfalterer+     ## 13794002
       0.87552       2.7162     0.064921  # 2001,W.P.Abfalterer+     ## 13794002
        0.8768       2.6948     0.062099  # 2001,W.P.Abfalterer+     ## 13794002
       0.87808        2.755     0.063846  # 2001,W.P.Abfalterer+     ## 13794002
       0.87937       2.7824     0.062382  # 2001,W.P.Abfalterer+     ## 13794002
       0.88066       2.7664     0.063417  # 2001,W.P.Abfalterer+     ## 13794002
       0.88195       2.7893     0.065662  # 2001,W.P.Abfalterer+     ## 13794002
       0.88325       2.7869     0.061855  # 2001,W.P.Abfalterer+     ## 13794002
       0.88455       2.7265     0.060725  # 2001,W.P.Abfalterer+     ## 13794002
       0.88585        2.714     0.059593  # 2001,W.P.Abfalterer+     ## 13794002
       0.88716       2.6465     0.060064  # 2001,W.P.Abfalterer+     ## 13794002
       0.88846       2.7058     0.059695  # 2001,W.P.Abfalterer+     ## 13794002
       0.88977       2.6981     0.059473  # 2001,W.P.Abfalterer+     ## 13794002
       0.89109        2.757     0.061278  # 2001,W.P.Abfalterer+     ## 13794002
        0.8924       2.6873     0.057888  # 2001,W.P.Abfalterer+     ## 13794002
       0.89372       2.7343      0.06028  # 2001,W.P.Abfalterer+     ## 13794002
       0.89504        2.622     0.056809  # 2001,W.P.Abfalterer+     ## 13794002
       0.89637       2.6475     0.057306  # 2001,W.P.Abfalterer+     ## 13794002
        0.8977       2.7257     0.057457  # 2001,W.P.Abfalterer+     ## 13794002
