Literature data from W.P.Poenitz (1983) & Finlay et. al (1993)
Natural Sn (n,tot)
MeV         cs(barns)   cs_error(barns) 
139.26       2.5091      0.01558
140.66       2.4641      0.01555
142.07       2.4632      0.01558
 143.5       2.4034      0.01554
144.94       2.4355      0.01552
 146.4       2.3865      0.01548
147.87       2.3844      0.01554
149.36       2.3613      0.01553
150.86       2.3062      0.01544
152.37       2.3168      0.01546
 153.9       2.2922      0.01547
155.45       2.3003      0.01552
157.01       2.2915       0.0155
158.59        2.265      0.01549
160.18       2.2454      0.01548
161.79       2.1842      0.01537
163.42       2.1629      0.01543
165.06       2.1719      0.01547
166.72       2.1665       0.0155
 168.4       2.1645      0.01546
170.09       2.1588      0.01546
 171.8       2.1267      0.01548
173.52       2.1048      0.01548
175.27       2.0835      0.01549
177.03       2.0898      0.01552
178.81       2.0783       0.0155
180.61       2.0592      0.01549
182.42       2.0274      0.01549
184.26       2.0492      0.01555
186.11       2.0283      0.01555
187.98       2.0136      0.01557
189.87       2.0174      0.01556
191.78        2.018      0.01561
 193.7       2.0055      0.01562
195.65       1.9549      0.01561
197.62       1.9477      0.01567
 199.6       1.9364      0.01564
201.61        1.936      0.01564
203.63       1.9273       0.0157
205.68       1.9534      0.01574
207.75       1.9316      0.01578
209.84       1.9138       0.0158
211.94       1.9119       0.0158
214.08       1.8925      0.01579
216.23       1.8944      0.01581
 218.4       1.8658      0.01586
220.59       1.8944      0.01595
222.81        1.876      0.01598
225.05       1.8813      0.01598
227.31       1.8948      0.01601
 229.6       1.8805      0.01605
 231.9       1.8847      0.01609
234.24       1.8278      0.01609
236.59       1.8796      0.01616
238.97       1.8608      0.01619
241.37       1.8576      0.01623
 243.8        1.843      0.01628
246.24       1.8484       0.0163
248.72       1.8388      0.01632
251.22       1.8369      0.01637
253.74       1.8168      0.01644
 256.3       1.8577      0.01648
258.87       1.8413      0.01654
261.47       1.8559      0.01659
 264.1       1.8423      0.01655
266.75       1.8279      0.01664
269.44       1.8116      0.01668
272.14        1.836      0.01676
274.88       1.8156      0.01678
277.64       1.8274      0.01681
280.43       1.8415      0.01683
283.25       1.8255      0.01688
 286.1       1.8554        0.017
288.97       1.8143        0.017
291.88       1.8127      0.01707
294.81       1.8343      0.01713
297.77       1.8208      0.01715
300.76       1.8319       0.0172
303.79       1.8423      0.01727
306.84       1.8324      0.01728
309.92         1.82      0.01736
313.04       1.8347      0.01742
316.19       1.8386      0.01751
319.36        1.845      0.01754
322.57       1.8109       0.0175
325.82       1.8314      0.01758
329.09       1.8328      0.01764
 332.4       1.8675      0.01771
335.74       1.8251      0.01768
339.11        1.866      0.01783
342.52       1.8823      0.01786
345.96       1.8581       0.0179
349.44       1.8606      0.01794
352.95        1.863      0.01793
 356.5       1.8302      0.01794
360.08       1.8606      0.01802
 363.7       1.8807      0.01801
367.36       1.8566      0.01806
371.05       1.8596      0.01808
374.78       1.8827      0.01818
378.54       1.8698      0.01818
382.35       1.8478      0.01814
386.19       1.8814      0.01825
390.07       1.9067      0.01822
393.99       1.9221      0.01832
397.95       1.8774      0.01826
401.95       1.8899      0.01823
405.99       1.8884       0.0183
410.07       1.9113      0.01833
414.19       1.8874      0.01831
418.36       1.9233      0.01836
422.56       1.9103      0.01838
426.81       1.9343      0.01837
 431.1        1.926      0.01836
435.43        1.923      0.01836
 439.8       1.9329       0.0184
444.22       1.9419      0.01842
448.69       1.9278      0.01844
 453.2       1.9365       0.0184
457.75        1.948      0.01849
462.35       1.9362      0.01852
   467       1.9418      0.01862
 471.7       1.9677      0.01874
476.44       1.9284      0.01874
481.22       1.9627       0.0188
486.06       1.9702      0.01898
490.94       1.9697      0.01909
495.88        1.964       0.0192
500.86       2.0035      0.01944
 505.9       1.9648      0.01963
510.98       2.0201       0.0199
